Anime_Id,Anime_Title,Anime_Synopsis,Anime_Genre
31096,Hibike! Euphonium: Suisougaku-bu no Nichijou,Short specials included in the Blu-ray/DVD releases.,"Comedy, Music, School"
37706,Akuma no Kimuraa-hen,"A cup noodle commercial where [Kuro] Hiyoko-chan, the mascot of the ""Chikin Ramen"" line from Nissin, uses black magic to summon devil powers to turn into [Kuro] Hiyoko Akuma. This year marked the 60th anniversary of instant noodles' invention. 
","Demons, Parody"
14211,Instant History,"Each three-minute short features characters learning about important historical events that occurred that day. Shown on Fuji Television, it often featured photographs and film footage taken from the Mainichi Shimbun newspaper, where Ryuuichi Yokoyama's comic strip was running at the time. 
 
(Source: Cartoon Research)",Historical
6728,Helen Keller Monogatari: Ai to Hikari no Tenshi,Based on Hellen Keller's (1880-1968) autobiography.,Drama
28983,Bouken-tachi Gamba to Nanbiki no Nakama,"When a badly injured mouse staggers off a ship in Tokyo Harbor, he tells the local mice that he has escaped from Devil's Island, where Noroi, the evil white weasel, has crushed the mice with his reign of terror. Tough-guy Gamba rashly promises to help depose Noroi. 
 
(Source: The Anime Encyclopedia)","Adventure, Kids"
11441,Rurouni Kenshin: Meiji Kenkaku Romantan - Shin Kyoto-hen,A large scale remake of the time after Kenshin leaves Tokyo up until before the inferno of Kyoto.,"Action, Samurai, Historical, Drama, Shounen"
40485,Strike the Blood IV,,"Action, Supernatural, Ecchi, Vampire, Fantasy"
21067,Strange+,"Kou comes to a slum neighborhood in search of his elder brother Takumi and finds him to have become the head of a private detective firm. Kou is drafted by Takumi to do errands and chores in the detective firm, and they come to meet various interesting people... 
 
(Source: MAL News)","Slice of Life, Comedy, Josei"
35118,Bleach Colorful!: Gotei Juusan Yatai Daisakusen!,An animated adaptation of several chapters of Colourful Bleach.,"Comedy, Shounen"
19959,Barbapapa (1977),"Based on a series of children's books written in the 1970s by Annette Tison and Talus Taylor. 
 
Adding to the first serie from 1975, the second serie brings 48 new episodes. 
 
(Source: AniDB)","Comedy, Kids, Fantasy"
283,Akage no Anne,"Life isn’t easy for Anne Shirley, an 11-year-old orphan with a vast imagination and a short temper. In a twist of fate, she gets taken into the Cuthbert house in Avonlea. The elderly occupants Marilla and Matthew Cuthbert were looking for a young boy to help in the fields, but they're in for quite a shock when they realize Anne is a girl. 
 
Adapted from the acclaimed classic by L. M. Montgomery,  Akage no Anne  portrays Anne's upbringing from 11 to 17 years of age and her encounters and separations with various people. Only time will tell what major decision Anne has to make that will change her life forever. 
 
[Written by MAL Rewrite]","Drama, Historical, Slice of Life"
1660,Kurogane Communication,"In the aftermath of a great and terrible war, Haruka finds herself the last surviving human on Earth. Though humanity may have been wiped out, she is not entirely alone. Advanced robots have survived the apocalypse, and Haruka lives with five who care for her: Spike, a boyish android who is very attached to her; Trigger, hot-tempered with a penchant for firearms; Cleric, the intelligent problem solver; Reeves, whose thoughtfulness overshadows his intimidating appearance; and Angela, a sword wielding recluse with an aversion towards humans. Residing in a high-rise building at the center of the city, Haruka lives a relatively peaceful life with her mechanical family. 
 
However, her life is far from a stable one. Not only is a lack of resources a concern, but violent, remnant robots from the war roam free, ready to destroy whomever they meet.  Kurogane Communication  follows Haruka as she tries to survive in an apocalyptic world while facing many dangers that will challenge her daily life. 
 
[Written by MAL Rewrite]","Action, Adventure, Drama, Sci-Fi"
19115,Giovanni no Shima,"In the aftermath of the most devastating conflict mankind had ever experienced, the tiny island of Shikotan became part of the Sakhalin Oblast... and on the unhealed border in this remote corner of the world, friendship among children from two different countries timidly blossomed, striving to overcome language barriers and the waves of history. Inspired by true events. 
 
 On August 15th, they told us we had lost the war. At that time, we did not really understand. Then one day, everything changed. Many soldiers, wearing uniforms we had never seen before, arrived on the island. That was the day I met Tanya. 
 
(Source: Production I.G)","Drama, Historical"
28723,Aikatsu!: Dai Starmiya Ichigo Matsuri Zenyasai!!,Narrated recap of the  Aikatsu!  series.,"Music, School, Shoujo"
10863,Steins;Gate: Oukoubakko no Poriomania,"A few months after the events of  Steins;Gate , Rintarou Okabe and his group of friends are invited to tag along with their acquaintance Faris NyanNyan, who is participating in a Rai-Net battle event in the United States. There, they meet up with an old colleague: Kurisu Makise, who has been recalling fragmented memories of events that happened in the other world lines in the form of dreams. She confronts Okabe, questioning him as to whether these events—particularly the incidents between the two of them—did indeed happen. 
 
[Written by MAL Rewrite]","Sci-Fi, Comedy, Thriller"
31566,Ketsuekigata-kun! 3,Third season of the  Ketsuekigata-kun!  series.,Comedy
11255,Ikkitousen: Shuugaku Toushi Keppuuroku,Ikkitousen OVA.,"Action, Ecchi, Martial Arts, Super Power, School"
23321,Log Horizon 2nd Season,"After being trapped in the world of Elder Tale for six months, Shiroe and the other Adventurers have begun to get the hang of things in their new environment. The Adventurers are starting to gain the trust of the People of the Land, and Akiba has flourished thanks to the law and order established by Shiroe's Round Table Alliance, regaining its everyday liveliness. Despite this success, however, the Alliance faces a new crisis: they are running out of funds to govern Akiba, and spies from the Minami district have infiltrated the city. 
 
As formidable forces rise in other districts, there is also a need to discover more about the vast new world they are trapped in—leading Shiroe to decide that the time has come to venture outside the city. Accompanied by his friend Naotsugu and the Sage of Mirror Lake Regan, the calculative Shiroe makes his move, hoping to unravel new possibilities and eventually find a way home. 
 
[Written by MAL Rewrite]","Action, Adventure, Fantasy, Game, Magic"
2552,Tetsuko no Tabi,"Based on a seinen manga by Kikuchi Naoe and Yokomi Hirohiko, serialised in IKKI.  
 
The ""story"" is that a manga artist is asked by her boss to accompany him and a travel-writer on various train trips around Japan and draw a manga about it.  
 
The kicker though, is that it's completely non-fiction —the creator really did go on all these trips, and the manga simply records what happened, with no embellishment. There's a little disclaimer at the front that says ""This is non-fiction, so I apologize for the lack of drama,"" and indeed, it mostly is just about them riding trains from place to place, waiting on platforms, etc.  
 
The ""travel writer"" turns out to be a super train-otaku who has vast knowledge of the train network, but also micro-manages all their trips, planning every detail down to the second. He cares mostly about following the schedule and successfully achieving his planned goals (e.g. visiting all stations on a line in a completely bizarre order to accomodate infrequent trains). The mangaka doesn't really care about trains; she's cynical, sarcastic, and rather lazy (she mainly just looks forward to the next eki-ben); he's completely gung-ho as long as he's following the schedule, and the inevitable conflicts are pretty entertaining.  
 
Throughout, though, it feels real —if you've travelled by train in Japan it will all seem very familiar, not just the scenery, but also the atmosphere and feel— and the artist does a great job of pacing and applying little tweaks to keep it consistently entertaining. In an additional bit of recursiveness, some of the characters who show up in the manga (who of course are real people, who really did show up) do so because they (really) read previous episodes of the manga!  
 
In addition of course, you can learn about various out of the way and interesting Japanese train lines and stations; some of them really do look cool. There's always this vague sense of surreality about it however, the trips are all planned by the train-guy (goal: visit all 9,843 stations in Japan) who seems to consider everything as part of a checklist rather than an experience to be enjoyed. You learn a bit about train-otaku culture too; there's really only the one guy in the story, but train-otaku culture is a sort of constant peripheral presence.  
 
(Source: AniDB) ","Comedy, Seinen, Slice of Life"
33703,Chao Shen Youxi,"Three young friends skipped class and went to an Internet Cafe to play games but were caught by a female class monitor. One returns home, but the other two choose to purchase a mysterious game CD from the sexy female shopkeeper. When they start playing, they suddenly get transported to the game world.","Action, Game, Fantasy"
24865,Amigo Tomodachi,"An educational film about how difficult it is learning the culture and customs of a new land. And how bullying foreigners or even Japanese people who have come back home after an extended stay in a foreign country after they picked up the customs, is the manifestation of a weak consciousness.","School, Slice of Life"
37827,Neko Kikaku,"The ""hyper black comedy"" anime takes place in Nyagoya City, a trendy town where cats live. In this peaceful town, many of the cats are suddenly disappearing. The NEET cat Takumi must save his father, who is wrapped up in the incident. The anime will feature the characters speaking in Nagoya dialect, and will feature famous sightseeing spots such as Nagoya Castle.  
 
(Source: ANN)",Comedy
15159,Fantastic Children Special,Extended ending showing what happened with Befort Children after the events from the last episode of the TV series. DVD release exclusive.,Slice of Life
18341,Pro Yakyuu wo 10-bai Tanoshiku Miru Houhou Part 2,Sequel of  The Racing Baseball .,"Comedy, Sports"
3432,Chou Mashin Eiyuuden Wataru,"After the battle with Doakuder at Soukaizan (the ""other"" world where the rainbow has disappeared because of the devils), a demon world Devil came to Genseikai (human world) and stole Wataru's conscience. Because of that, Wataru's heart of justice and his memories of being Kyuuseishu (world savior) vanished. After Shibaraku and Himiko brought him back to Shinbukai (the ""other"" world, where Soukaizan is located), Wataru regained his memories, however his conscience was still missing. To get it back, Kyuuseishu Wataru must return to fight the devils, rescuing all of Soukaizan from catastrophe! 
 
Chou Mashin Eiyuuden Wataru is the 3rd work of the Mashin Eiyuuden Wataru TV series by SUNRISE, and is considered as a ""remake"" series of the previous Wataru series. It started airing from October 2, 1997, and ended on September 24, 1998, every Thursday from 6:00 to 6:30pm, with a total of 51 episodes. 
 
(Source: AniDB)","Action, Adventure, Comedy, Mecha"
15505,Shining Hearts: Shiawase no Pan Specials,"The 6 short ""Chibi Style"" Specials on each of the Blu-rays/DVDs.",Fantasy
17655,Mobile Suit Gundam AGE: Memory of Eden,This project will recompile the television series (from the Asemu arc onward) to focus on the characters Asemu Asuno and Zeheart Galette.,"Action, Mecha, Military, Sci-Fi, Drama"
37596,Poputepipikku TV Special,"Episode 13 and 14 of  Poputepipikku . The special has four versions shown on four different broadcasters: Tokyo MX (Blue Dragon ver.), Nico Nico Douga (Vermilion Bird ver.), Abema TV Anilive (White Tiger ver.) and Abema TV Pop Team Epic Channel (Black Tortoise ver.). Each version has a unique combination of seiyuus. 
 
(Source: AniDB)","Comedy, Parody, Dementia"
30979,Hachikadzuki-hime,An anime adaptation of the Hachikadzuki-hime Japanese folk tale.,"Drama, Fantasy, Historical, Kids"
1513,Kaette Kita Court no Naka no Tenshi-tachi,Akira Motoura and his team or rather his harem travels to a hot spring resort to train for the upcoming volleyball game. This time they got two new rookies to strengthen their effort. Little they know that they being lured in a trap set by the two beutiful newcomers.,Hentai
8993,Juliet,Based on the manga by U-Jin.,"Hentai, Comedy, Supernatural"
3497,Steady x Study,"Nakane Makoto is a freshman in the private school of Kamimori Academy in Harajuku. He enters the drama club because his best friend, Wakabayashi asked him to do so, but it turns out the club is on the verge of dissolution. A girl from Makoto's class, Saitou Koyuki is also a member of the club. In the meanwhile, Makoto's schoolmate since junior high - now a student of the other class - Abegawa Nozomi seeks to launch a so called ""study club"". Both clubs get into a pinch, as the student council won't finance their activity for this year, and even the day of a performance is approaching... Can the drama club survive this crisis? 
 
(Source: AniDB)",Romance
10122,Kowarekake no Orgel Special,"Extra episode of Kowarekake no Orgel which was added to theatrical release of anime and DVD/BD. 
 
Flower notices that Keiichiro seems tired and decides to cook something new for him. ","Sci-Fi, Slice of Life, Drama, Seinen"
7667,Dr. Slump Movie 03: Arale-chan Hoyoyo! Sekai Isshuu Dai Race,"Arale and her friends learn of a World Grand Prix being organised by the Radial Kingdom. The prize is marrying Princess Front (a dead ringer to Ms. Yamabuki) or 1 million dollars. Of course they decide to enter for the money. Not so for Dr. Mashirito; he is going for the princess and will stop at nothing to win! The princess though has her own plan, which involves Ms. Yamabuki, and that of course means even Dr. Slump decides to enter with his trusty Borobo. Let the race begin... 
 
(Source: M74)","Comedy, Sci-Fi, Shounen"
5956,High School! Kimengumi (Movie),"Three additional adventures for the Kimengumi and friends. In the first episode, the boys fail their exams right before summer vacation and have to take supplementary lessons. The second episode is a mandatory school trip to the beach during summer vacation for a swimming competition. In the third episode school is back in session, the karate club is in danger when a new opponent appears. ","Comedy, Parody, Romance, School, Shounen"
1816,Sonic X,"Back on Sonic's home planet, Eggman has collected all 7 of the Chaos Emeralds, and is about to have absolute power when Sonic interferes, causing an explosion that sends everyone from their world to Earth. Sonic and his friends team up with 12 year old Christopher Thorndyke to collect all the Chaos Emeralds and defeat the evil Dr. Eggman. 
 
(Source: ANN)","Sci-Fi, Adventure, Comedy, Kids, Mecha, Shounen"
2493,Touch 3: Kimi ga Toorisugita Ato ni - Don't Pass Me By,"Compilation movie of the third year of the Touch timeline. Contain many important plot differences, added scenes and the complete removal of an important character. 
 
(Source: AniDB)","Drama, School, Sports"
1874,Love♥Love? Specials,"DVD Special containing: 
 
Rhapsody of July (DVD Episode 2.5) 
If it becomes September (DVD Episode 3.5) 
Bitch Actress dropped into Hell (DVD Episode 5.5) 
History is Made Through Women (DVD Episode 9.5)","Ecchi, Comedy, Harem, Romance"
22619,Kero Kero Keroppi no Tomodachitte Ii na,A new kid moves to town for a short stay with his father. He's really good at playing the ocarina but difficult to befriend. A bird likes to listen to his music and when a storm arrives they all help the bird by placing it and its nest into a bird house; this helps them all form an everlasting friendship as he moves once again.,Kids
2682,Aoki Densetsu Shoot! (Movie),Frankfurt Youth team (Kubo's team while he was in Germany) comes to Japan to play a series of friendly matches. Frankfurt Captain Rudy wanted to see why Kubo left Germany to form a team in Japan so he challenges Kakegawa High to a match. ,"Action, Sports, Shounen"
29799,Tabi wa Michizure Yo wa Nasake,A short film by Okamoto Tadanari.,Kids
22393,Sora e,"Two souls, an ermine and a dolphin, dance and explore the world full of beautiful landscapes with a gorgeous palette of colours and sees the cycle of life.","Music, Kids, Fantasy"
9881,Chou Supercar Gattiger,"A scientist invents 5 special solar powered cars that can be joined into one supercar. The cars are given to the scientists son and his friends to compete in the racing circuit, but they are pursued by an evil organization that wants the secret of solar power.  
 
(Source: AniDB)","Action, Cars, Sci-Fi"
22377,Wonder Momo,"One day, a group of aliens planning to take over the Earth invade Tokyo. Momoko, who aspires to be an idol, gets involved in the ensuing fight, albeit in an unexpected manner. Warudemon, king of the alien empire, uses various tactics to hunt down Momoko and the people around her. Momoko decides to stand up against this aggression. 
 
Wonder Momo was originally an arcade game released in 1987. A fairly simplistic (by today's standards) side-scrolling beat 'em up game, featuring a transforming, hoop-wielding heroine. 
 
(Source: MAL News)","Action, Game, Martial Arts, School"
1999,Sakura Taisen: Sumire,"Set after the time of Sakura Taisen 4 (game), Kanzaki Sumire, during a training session was noticed that her spirit power (rei-ryoku) has dropped tremendously, below levels required to pilot the Koubu-nishiki. She decides to retire from the Kageki-dan while she still holds the position of ""top star"" in the dai-teikoku gekijyou.  
 
(Source: ANN)","Adventure, Drama, Mecha, Sci-Fi, Shounen"
29587,Home My Home,Short animation by Tadanari Okamoto.,"Music, Kids"
16259,Inferious Wakusei Senshi Gaiden Condition Green,"Keith, George, Edward, Yang and Shaw are Platoon #801, the five-man team formed to protect their homeworld in the Inferious galaxy from alien invasion. Gazaria's evil emperor Vince conquers the neighbor worlds of Kal and Granad, and suddenly only Platoon #801, also known as Condition Green, stands between him and the conquest of Emerald Earth. 
 
(Source: The Anime Encyclopedia)","Action, Sci-Fi"
31989,Hibike! Euphonium Movie 1: Kitauji Koukou Suisougaku-bu e Youkoso,"After swearing off music due to an incident at the middle school regional concert band competition, euphonist Kumiko Oumae enters high school hoping for a fresh start. As fate would have it, she ends up being surrounded by people with an interest in the high school brass band. Kumiko finds the motivation she needs to make music once more with the help of her bandmates, some of whom are new like novice tubist Hazuki Katou; veteran contrabassist Sapphire Kawashima; and band vice president and fellow euphonist Asuka Tanaka. Others are old friends, like Kumiko's childhood friend and hornist-turned-trombonist Shuuichi Tsukamoto, and trumpeter and bandmate from middle school, Reina Kousaka. 
 
However, in the band itself, chaos reigns supreme. Despite their intention to qualify for the national band competition, as they currently are, just competing in the local festival will be a challenge—unless the new band advisor Noboru Taki does something about it. 
 
[Written by MAL Rewrite]","Music, School"
7290,Cyborg 009: Kaijuu Sensou,"The evil organization 'Black Ghost' attacked around the world, using dinosaur (plesiosaur) type giant robots, and the team of 9 cyborgs launched their quest for the Black Ghost's hideout. 009 meets a girl named Helena... 
 
(Source: upp.so-net.ne.jp)","Action, Adventure, Sci-Fi"
10477,Haiyoru! Nyaruani: Remember My Love(craft-sensei) Special,A DVD Special of Haiyoru! Nyaruani: Remember My Love(craft-sensei) which is also episode 12 of the series and takes place after the last episode of the anime.,"Comedy, Sci-Fi"
38861,Hannyashingyou,A film by Keiichi Tanaami.,Dementia
6060,1-gatsu ni wa Christmas,"Nobumasa is a boy who works part-time in a shoe store, where he meets Mizuki, a girl whose abusive family life has left her unable to trust other people. Meanwhile, Nobumasa is unaware that another girl, Seiko, has a crush on him but is unable to express her feelings. 
 
(Source: The Anime Encyclopedia)","Drama, Romance"
15839,Hitou Meguri Kakure Yu: Mao-hen,"Based on the erotic game Zoku Hitou Meguri by Riddle Soft. 
 
Mao, who has a secret crush on Mikio, makes up her mind and invites him to go on a trip. The invitation gets accepted, and at the thought of the trip just for the two she feels elated. Mikio falls asleep right after installing himself in a seat opposite Mao in the train, helplessly spoiling the sport. She expands her expectations looking forward to upcoming events, though his seeming lack of interest dampens her ardor a bit. Despite her hopeful view, however, it turns out that her passion for Mikio only ends up arousing the sexual desire of a man that appears unexpectedly... 
 
(Source hentaistream.com)",Hentai
33152,Detective Conan: City Exploration! Get the Animal Mark!,,"Mystery, Kids, School"
498,Haja Taisei Dangaiou,"Four psychic teenagers—Mia Alice, Roll Kran, Lamba Nom and Pai Thunder—are brainwashed by the scientist Dr. Tarsan as pilots of his greatest experiment—the giant robot Dangaioh. But as their memories slowly return, these pilots use their abilities and Dangaioh to combat the tyranny of Captain Galimos and the Bunker Space Pirates.  
 
(Source: ANN)","Action, Sci-Fi, Adventure, Mecha"
1365,Detective Conan Movie 06: The Phantom of Baker Street,"Noah's Ark—the latest in VR technology and a milestone of human innovation—is set for a showcase to Japan's privileged children. They have the honour of beginning a new revolution in gaming; however, their carefree fun is cut short when a company employee is found murdered, with his dying message pointing to a clue hidden within the Ark. 
 
Along with the Detective Boys and Ran Mouri, Conan Edogawa enters Noah's Ark to solve this mystery and ensure the perpetrator is caught. But once they're inside the Ark, it takes on a mind of its own, imprisoning them and the children within its worlds. To escape and bring the murderer to justice, Conan and company must navigate a simulated 19th century London and track down the infamous Jack the Ripper—with the lives of 50 innocent children depending on them. 
 
[Written by MAL Rewrite]","Adventure, Mystery, Police, Shounen"
34580,Nana Maru San Batsu,"As soon as he entered high school, the first year student Koshiyama Shiki was invited to the mysterious Quiz Study Group led by his senpai. What will Shiki run into when being dragged along by his class mate Mari into the dazzling world of competitive quizzes?! 
 
(Source: Comic Walker)","Game, School, Seinen"
37997,Devils Line: Anytime Anywhere,Bundled with the limited edition of the manga' 12th compiled volume.,"Action, Supernatural, Drama, Romance, Vampire, Seinen"
17687,Bemubemu Hunter Kotengu Tenmaru,Adventures of a demon slayer Tenmaru.,"Adventure, Fantasy"
16183,Lupin Shanshei,Series of 10 shorts parodying the popular classic anime Lupin III.,"Parody, Comedy"
8078,Kure-nai OVA,A Kure-nai OVA featuring new character designs closer to the novel/manga.,"Action, Comedy"
6909,Jungle Taitei: Yuuki ga Mirai wo Kaeru,"Earth, sometime in the 21st century. Because of non-stop environmental destruction, the United Nations commissions a private company, ""Eternal Earth,"" to create an artificial jungle, to be a nature preserve and to protect animals. All wild animals are forced to live in it. 
 
The animals that live in this ""neo-jungle"" have an easy life. Leo, son of Panja, is born in this artificial world. Because of the unrealistic nature of the neo-jungle, Leo lives his life like he hasn't a care in the world. But Leo is ridiculed by the other animals; they call him a coward—he is not like his father, the great Jungle Emperor, but Leo vows that some day he will be. 
 
Kenichi, son of the Eternal Earth company's CEO, has no doubt about the great success of the neo-jungle. The story starts when Leo and Kenichi meet. Kenichi has the special ability to understand what the animals are saying. 
 
(Source: kimbawlion.com/2009.htm)",Adventure
5210,Houkago 2 The Animation,"Ryuichi's first sex doesn't go well and he can't get an erection since then. He starts to work at a girl's high school as a janitor but his work attitudes are terrible, so his dismissal is decided. When he is depressed to hear that, he meets Midori. And he gets an erection while talking to her. He can't stand it and rapes her. He has only one month to go so he decides to spend his time at school raping as many girls as possible.... 
 
(Source: ErogeShop)",Hentai
5602,Navia Dratp,"Short anime series released online by Bandai to promote their collectible miniatures game series, Navia Dratp. ",Fantasy
5986,Tengai Makyou: Jiraiya Oboro-hen,"Based on the first Tengai Makyou game, that initially came out in 1989 as one of the first titles for NEC's PC Engine CD-ROM.","Adventure, Fantasy"
28851,Koe no Katachi,"As a wild youth, elementary school student Shouya Ishida sought to beat boredom in the cruelest ways. When the deaf Shouko Nishimiya transfers into his class, Shouya and the rest of his class thoughtlessly bully her for fun. However, when her mother notifies the school, he is singled out and blamed for everything done to her. With Shouko transferring out of the school, Shouya is left at the mercy of his classmates. He is heartlessly ostracized all throughout elementary and middle school, while teachers turn a blind eye. 
 
Now in his third year of high school, Shouya is still plagued by his wrongdoings as a young boy. Sincerely regretting his past actions, he sets out on a journey of redemption: to meet Shouko once more and make amends. 
 
 Koe no Katachi  tells the heartwarming tale of Shouya's reunion with Shouko and his honest attempts to redeem himself, all while being continually haunted by the shadows of his past. 
  
[Written by MAL Rewrite]","Drama, School, Shounen"
6917,Tsuideni Tonchinkan,"Based on the same name gag manga by Endo Koichi. 
 
A gang decides to play at burglary without the knowledge of their schoolmates, each masquerading at different times as the master thief Tonchinkan. 
 
(Source: ANN)",Comedy
23447,"Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.",Special episode included in the Blu-ray Box of  Ano Natsu de Matteru .,"Comedy, Drama, Romance, Sci-Fi, Slice of Life"
38403,Chuusotsu Worker kara Hajimeru Koukou Seikatsu,"18-year-old Manami Katagiri has faced hardships his whole life because he had to drop out of middle school and begin working in a factory to take care of his little sister. For reasons he's re-enrolled in high school to better his life but on his first day he encounters a ""princess"" who he claims has never had to work a day in her life. Is it love at first sight? or perhaps a rivalry? 
 
(Source: MU)","Drama, Romance, School, Seinen"
31749,Chou Kidougai-ku: Kashiwa-no-Ha,"ーThe day the city had moved, our future began to move.ー 
The year is 2018. Kashiwa City, Chiba Prefecture, Kashiwanoha Smart City. A family had come to the model room tour of the tower apartment in ""Park City Kashiwanoha Campus The Gate Tower"". With excellent facilities the family begins a new life in this city based on the environment. However, suddenly the after leaving, the ground shakes violently and a giant robot appears from where their tower apartment once stood. Or rather, their tower apartment has become a giant robot. The family is stunned. What the heck is happening in this town? What secret is hidden in this town? 
 
(Source: Official YouTube channel, edited)",Mecha
19069,Okane wa Mawaru: Kurashi to Kinyuu,"Educational video that teaches youth about the value of money and importance of financial planning. 
 
*Part of the series of films produced with cooperation of: Japan's Central Council for Financial Services Information and Bank of Japan Public Relations Department.",Slice of Life
36383,Mama no Earring,A little girl adores her mother's pearl earrings.,"Music, Kids"
1237,One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!,"The story opens on Pirate Zap's ship, where two of his crew, Bonnie and Max, are tired and want to escape, but unfortunately they have no money. Three children were being held captive on the ship overhear them. The eldest, Amanda, who's father was a pro treasure hunter, knows the whereabouts of a great treasure, and offers them a deal. If they help them make a clean escape, they could take all the treasure they wanted. They agree, and the five of them barely escape and make it onto a small island where they meet Luffy and his crew. Unfortunately they were pursued and Luffy and Amanda are captured and brought back to their boss, the head of the Bayan Pirates, who is also after the treasure. Now Luffy and the others must battle the Bayan pirates and find the treasure that Amanda's father had left for his children. Amanda, who has always resented adventure and treasure because her father was constantly gone in search for it, finally understands his feelings.  
 
(Source: ANN)","Action, Adventure, Comedy, Fantasy, Shounen, Super Power"
38137,Zhu Zhu Xia: Zhong Ji Jue Zhan,"G.G. Bond and his team have eliminated all monster threats. So they have been using a virtual reality simulator to stay on top in case of a threat. In this simulator, G.G. Bond is reunited with his father. But unbeknownst to him, his father is the King of Darkness and merges virtual time and space with reality. Unable to tell apart illusions with realness, the King of Darkness attacks while the heroes are confused.","Sci-Fi, Super Power, Kids"
33123,Koto Nakare Hero Gingerman,Shorts about root vegetables from the refrigerator who try to act like superheroes.,Comedy
31150,Xi Yang Yang Yu Hui Tai Lang,"The hectic daily life of a group of goats living on the Green Pasture, or Qing Qing Grassland (青青草原), and the clumsy wolf who wants to eat them.","Adventure, Comedy, Kids"
7705,Starry☆Sky,"The protagonist, Tsukiko Yahisa, enrolled to a school that was recently changed from all-boys school to co-ed. Since the area where the school is conveniently rural and the rather exclusive curriculums the school has, up until now the protagonist is the only one female who enrolled to the school. 
 
In Starry Sky, the 13 constellations of the Zodiac are personified into handsome young men. The anime will be directed by Kiyomo Sayaka who worked with Vampire Knight. Similar to Hetalia - Axis Powers, Starry Sky's anime will be distributed through the Animate.tv website and other means.","Harem, School, Shoujo"
37762,Chiisana Kinomi,The first animated  Minna no Uta  adaptation of the song  Chiisana Kinomi . This 1983 version was the second release of the song as the original from 1971 was a live-action music video.,"Music, Kids"
12803,Chinkoroheibei Tamatebako,The mischievous Chinkoroheibei visits the underwater realm of the fish king where he tries to steal the king's treasure box.,"Kids, Fantasy, Comedy"
