Anime_Id,Anime_Title,Anime_Synopsis,Anime_Genre,Historical,Military,Comedy,Fantasy,Cars,Horror,Action,Yaoi,Josei,Vampire,Magic,School,Police,Samurai,Adventure,Shounen Ai,Hentai,Music,Seinen,Dementia,Yuri,Martial Arts,Shounen,Drama,Slice of Life,Shoujo Ai,Shoujo,Space,Sports,Mystery,Super Power,Demons,Game,Romance,Ecchi,Mecha,Kids,Thriller,Supernatural,Harem,Parody,Psychological,Sci-Fi,Cluster,genres_str
32693,Kitakaze to Taiyou," A short film released by Gakken. It is based on the Aesop's Fable ""The North Wind and the Sun.""",Kids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,Kids
9513,Beelzebub,"Ishiyama High is a school populated entirely by delinquents, where nonstop violence and lawlessness are the norm. However, there is one universally acknowledged rule—don't cross first year student Tatsumi Oga, Ishiyama's most vicious fighter. 
 
One day, Oga is by a riverbed when he encounters a man floating down the river. After being retrieved by Oga, the man splits down the middle to reveal a baby, which crawls onto Oga's back and immediately forms an attachment to him. Though he doesn't know it yet, this baby is named Kaiser de Emperana Beelzebub IV, or ""Baby Beel"" for short—the son of the Demon Lord! 
 
As if finding the future Lord of the Underworld isn't enough, Oga is also confronted by Hildegard, Beel's demon maid. Together they attempt to raise Baby Beel—although surrounded by juvenile delinquents and demonic powers, the two of them may be in for more of a challenge than they can imagine. 
 
[Written by MAL Rewrite]","Action, Comedy, Demons, Supernatural, School, Shounen",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,14,Action Comedy Demons Supernatural School Shounen
39849,Kyouryuu Shoujo Gauko,"The comedy series is set in Japan and follows Naoko Watanabe, a typical tween girl aside from the fact that she possesses strange and sometimes troubling powers. When her anger exceeds a maximum level, she turns into Gauko, the fire-breathing dinosaur girl.  
 
(Source: Variety)","Comedy, Super Power",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Comedy Super Power
8145,Gegege no Kitarou: Nippon Bakuretsu,Movie based on the 2007 TV anime with an original plot.,"Action, Fantasy, Horror, Kids, Shounen, Supernatural",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,Action Fantasy Horror Kids Shounen Supernatural
40060,BNA,,Fantasy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Fantasy
2969,Appleseed Saga Ex Machina,"Deunan, a young female warrior, and Briareos, a veteran cyborg-soldier, are both partners and lovers. As members of E.S.W.A.T., the elite special forces serving Olympus, they are deployed whenever trouble strikes. The two fighters find their partnership tested in a new way by the arrival of a new member to their ranks—an experimental Bioroid named Tereus. 
 
(Source: ANN)","Action, Mecha, Military, Sci-Fi",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,Action Mecha Military Sci-Fi
36656,Stone Age Episode 0,The introductory episode of  Stone Age  before its formal TV broadcast started two months later.,"Fantasy, Kids",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,Fantasy Kids
1072,Sweat Punch,Sweat Punch is a series of five Studio 4°C shorts collected as a direct-to-DVD package film entitled Deep Imagination.,"Action, Historical, Fantasy, Mecha",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,Action Historical Fantasy Mecha
33473,Tokyo Futago Athletic,"Having cleared the preliminaries, twenty-four pairs of twins face gargantuan challenges on an enormous athletic field. On this man-made island in Tokyo Bay, the bonds between twins are pushed to the limit in the Ultimate Athletic Tournament! 
 
The tournament consists of three insanely difficult obstacle courses. Teamwork and human drama are forged within these grueling challenges. 
 
Participants are limited to twins, but exactly what constitutes a ""twin"" is unclear, resulting in some unusual pairings. In the past, controversial appearances have included clones, adopted siblings, or triplets in shifts. 
 
(Source: Official Website)","Comedy, Sports",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Comedy Sports
38933,Hirooka Asako,"Commercials explaining the founder of Daido Seimei (Daido Life), an insurance company in Japan. Hirooka Asako (1849-1919) was an affluent woman who through persistence was able to push for insurance requirements of small to medium business enterprises for their employees as coal miners who were at the most risk/vulnerable if a disaster/injury were to happen. She did this by facilitating 3 large business enterprise insurance companies to break off small chunks to form 1 new company where all three had shareholder value. ",Historical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Historical
1296,Project A-Ko 2: Daitokuji Zaibatsu no Inbou,"Three weeks after the incident that left Captain Napolipolita's ship balancing on top of Graviton City, A-Ko and the gang go on summer vacation. While A-Ko ponders losing some weight and B-Ko devises another plan to defeat her redheaded rival to win C-Ko, Napolipolita and Spy-D experience severe homesickness - begging for a way to return to their home planet. Meanwhile, Hikari Daitokuji - B-Ko's father and the CEO of the Daitokuji Financial Group - arms the local military with new mecha to attack Napolipolita's ship and obtain its advanced technology.  
 
(Source: ANN)","Action, Comedy, Mecha, Sci-Fi, Super Power",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,Action Comedy Mecha Sci-Fi Super Power
35131,Luna-tan: 1-mannen no Himitsu,"There was a land that kept the prosperity of the world using the energy Mana of the titans called Luna. However, when a tsunami struck the world, the land was destroyed. The story takes place ten thousand years after the huge tsunami in the underground. Mokugyo and Toriiruka are the main characters, who are strange animals. ""Why are we here?"" ""I thought we were in somewhere peaceful..."" What exactly happened ten thousand years ago? Can Mokugyou and Toriiruka safely return to the surface? 
 
(Source: MAL News)","Magic, Fantasy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Magic Fantasy
12993,Sono Mukou no Mukougawa,"The story is about Kudo Futaba, a young boy who is pulled into a strange world when he rescues a girl named Kiara, a powerful girl whom many people wish to capture or kill. Futaba pledges to protect Kiara from her pursuers and help her find her missing master. 
 
 This short animation clip was released as part of the special Comic Blade Digital DVD sold at Animate. 
 
(Source: AniDB)",Music,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Music
33603,Mo Jing Lieren 2nd Season,The series takes place on a fantastical world where crystals can provide great strength. Their value has led to to the rise of a unique profession: crystal hunting.,"Adventure, Fantasy",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Adventure Fantasy
37440,Psycho-Pass: Sinners of the System Case.1 - Tsumi to Bachi,"A runaway vehicle driven by Izumi Yasaka, en route to the Public Safety Bureau building, is reported shortly before it crashes into the building. Izumi is a counselor who recently ran away while working at a latent criminal isolation and rehabilitation facility known as Sanctuary. 
 
Before Inspectors Mika Shimotsuki and Akane Tsunemori get to interrogate the suspect, a sudden request is issued from the facility to promptly bring Izumi back. Interpreted as a direct order from the Chief and the board at Sanctuary, the Inspectors obey, but insist that Izumi be escorted back personally. Tsunemori intends to investigate further with the rest of the team at the Bureau.  
 
Now Inspector Shimotsuki has finally been given the opportunity she had been waiting for—to be the primary investigator on an important case. This case follows Shimotsuki and her team of Enforcers as they uncover the secrets of Sanctuary. 
 
[Written by MAL Rewrite]","Action, Police, Psychological, Sci-Fi",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,Action Police Psychological Sci-Fi
